D,M,maxTemp,proTemp,minTemp,maxVelViento,mediaVelViento,fuerzaViento,Events,WindDirDegrees
01,01,28,24,21,24,8,31,,101
02,01,28,26,22,29,14,37,50,115
03,01,28,27,24,35,19,47,50,118
04,01,28,26,23,34,14,43,,130
05,01,29,26,22,24,10,31,,67
06,01,29,26,22,21,10,31,,92
07,01,27,23,18,21,9,31,,312
08,01,23,18,13,29,17,39,50,26
09,01,26,22,18,19,7,24,,130
10,01,26,21,15,26,13,35,Fog,11
11,01,27,24,21,37,19,43,50,81
12,01,27,26,24,35,20,43,50,105
13,01,26,24,21,23,8,27,50,81
14,01,25,23,20,21,9,27,Fog,338
15,01,26,22,17,23,9,31,,323
16,01,24,20,16,26,13,37,,346
17,01,25,19,13,27,13,35,,58
18,01,26,22,17,21,6,31,,316
19,01,24,19,14,24,9,31,,47
20,01,23,21,18,23,8,29,,116
21,01,28,24,19,24,9,31,,73
22,01,27,24,20,26,14,37,,91
23,01,26,24,21,32,19,47,,132
24,01,26,21,15,35,16,50,,261
25,01,19,16,11,21,10,29,,304
26,01,25,18,12,37,15,58,50,260
27,01,21,17,13,27,13,35,,286
28,01,21,17,13,26,13,39,,333
29,01,23,17,12,29,12,37,,26
30,01,24,20,15,19,8,26,,306
31,01,24,20,16,35,15,42,,35
01,02,24,21,17,34,18,42,,115
02,02,29,24,19,34,14,42,50,217
03,02,25,19,14,26,14,40,,30
04,02,25,22,18,26,14,31,,100
05,02,23,21,17,40,15,60,150,245
06,02,24,19,14,27,16,40,50,14
07,02,23,21,18,32,17,48,,64
08,02,26,21,16,27,11,37,,115
09,02,26,22,17,27,10,42,50,172
10,02,24,20,15,34,18,48,,291
11,02,23,18,12,23,9,29,,319
12,02,24,19,14,19,9,24,,301
13,02,24,18,12,24,11,32,,306
14,02,19,14,9,24,11,32,,319
15,02,24,17,9,23,7,32,,360
16,02,24,19,13,35,11,42,,138
17,02,28,23,18,32,14,42,50,216
18,02,23,17,11,27,12,39,150,324
19,02,16,12,8,35,18,50,,320
20,02,19,12,6,34,17,45,,12
21,02,24,21,17,39,23,50,50,99
22,02,27,24,20,26,14,37,,117
23,02,28,24,21,24,9,35,,140
24,02,29,24,19,24,11,31,,274
25,02,28,23,17,32,13,50,,185
26,02,31,27,23,39,19,52,,225
27,02,27,23,20,21,12,29,50,347
28,02,27,24,21,35,16,50,50,67
01,03,28,26,23,32,21,42,,85
02,03,28,25,22,24,14,34,,83
03,03,28,25,21,34,18,40,,95
04,03,28,26,23,29,18,42,,115
05,03,29,26,23,32,17,43,,146
06,03,29,25,21,21,9,27,,118
07,03,27,23,20,26,14,39,50,21
08,03,24,23,22,29,19,40,50,58
09,03,28,25,22,29,19,37,,89
10,03,29,27,24,35,23,47,,103
11,03,29,27,24,35,19,48,50,116
12,03,29,27,23,34,22,43,,103
13,03,29,26,23,39,26,50,,98
14,03,29,26,23,32,17,40,,129
15,03,29,25,21,23,9,34,,120
16,03,29,26,22,26,11,40,,88
17,03,30,26,21,26,10,43,,177
18,03,31,25,19,24,11,39,,257
19,03,29,26,21,26,9,39,,221
20,03,30,25,20,24,9,32,,249
21,03,30,25,20,23,8,34,,216
22,03,31,26,21,24,11,35,,238
23,03,32,27,21,29,12,43,,254
24,03,29,26,23,24,9,32,,318
25,03,32,26,21,21,9,31,Fog,254
26,03,31,26,22,34,14,47,,157
27,03,33,27,20,42,17,61,50,226
28,03,23,20,17,27,13,42,,328
29,03,25,20,14,27,13,39,,15
30,03,27,22,16,23,7,42,,69
31,03,27,22,17,24,10,32,,359
01,04,29,24,19,23,7,31,,194
02,04,28,24,20,26,11,34,,101
03,04,28,25,21,27,16,37,,110
04,04,29,26,21,24,10,31,,115
05,04,29,25,21,27,12,35,,101
06,04,29,26,22,39,17,52,50,93
07,04,30,27,24,29,19,39,,98
08,04,29,27,24,29,19,39,50,90
09,04,29,27,23,29,20,40,,101
10,04,30,27,24,29,19,37,,111
11,04,30,27,24,27,16,39,,120
12,04,30,27,24,29,17,40,50,120
13,04,30,27,24,32,18,42,50,120
14,04,30,27,24,27,18,39,,112
15,04,30,27,24,29,16,40,50,129
16,04,31,28,24,29,14,39,,128
17,04,32,28,24,27,12,42,150,150
18,04,32,28,24,26,11,40,,177
19,04,32,28,24,27,13,45,,175
20,04,33,29,26,32,13,47,150,189
21,04,27,26,24,23,6,35,50,183
22,04,29,27,24,16,9,24,,32
23,04,31,27,24,32,9,43,50,116
24,04,33,29,24,26,11,35,50,15
25,04,32,29,25,35,13,47,50,144
26,04,36,30,24,34,16,50,,244
27,04,34,30,26,34,12,45,,326
28,04,32,28,24,35,11,42,150,112
29,04,26,24,21,24,14,37,150,193
30,04,27,25,22,24,13,32,,273
01,05,29,24,20,23,12,31,,311
02,05,28,24,21,34,16,37,,42
03,05,28,25,22,37,21,50,,71
04,05,27,24,22,37,19,45,,59
05,05,27,24,21,27,10,40,50,47
06,05,30,26,21,24,10,31,50,334
07,05,30,26,21,27,9,35,100,148
08,05,32,27,23,23,9,37,,232
09,05,31,27,22,27,10,39,,169
10,05,31,28,24,27,15,39,,110
11,05,31,28,26,32,20,40,,100
12,05,31,27,24,34,21,42,50,104
13,05,31,28,24,29,18,35,50,96
14,05,31,28,26,29,19,42,50,90
15,05,32,28,25,37,20,43,,93
16,05,31,28,24,29,18,37,,94
17,05,31,28,26,39,20,43,,100
18,05,31,28,25,29,17,35,,75
19,05,32,28,24,27,15,42,,83
20,05,33,28,23,26,8,34,,134
21,05,34,29,24,32,10,47,100,199
22,05,33,28,24,35,10,55,100,268
23,05,32,28,23,29,15,39,,58
24,05,32,28,25,42,21,48,50,87
25,05,32,29,26,32,23,42,50,101
26,05,32,29,27,34,24,40,,97
27,05,31,28,24,34,21,43,,76
28,05,31,28,24,34,20,40,,75
29,05,31,27,23,32,16,37,,78
30,05,31,28,24,27,15,39,50,89
31,05,31,27,24,24,10,34,50,109
01,06,31,28,24,24,12,34,,110
02,06,29,27,24,32,12,43,50,111
03,06,29,26,22,26,10,34,50,99
04,06,31,27,24,23,8,29,50,114
05,06,31,28,25,27,10,34,50,70
06,06,31,27,24,27,8,35,150,265
07,06,31,27,23,26,12,35,,67
08,06,31,28,24,29,11,35,,101
09,06,31,27,23,29,6,35,150,126
10,06,31,28,24,32,11,40,150,147
11,06,31,27,22,42,16,60,150,94
12,06,32,30,27,34,22,40,,105
13,06,32,30,28,35,24,43,,100
14,06,31,28,26,35,20,42,50,95
15,06,32,29,26,27,16,35,150,98
16,06,32,29,26,23,13,,,89
17,06,32,29,26,26,13,35,50,107
18,06,33,31,28,24,15,34,,114
19,06,33,31,27,24,12,35,,121
20,06,33,30,27,26,11,32,,109
21,06,33,30,27,26,11,40,,103
22,06,33,30,27,29,14,37,,103
23,06,33,31,28,29,17,39,,115
24,06,33,31,28,26,15,37,,116
25,06,33,31,27,27,11,42,,133
26,06,32,29,26,27,8,37,150,170
27,06,33,29,24,34,6,50,150,169
28,06,33,29,26,32,9,40,150,173
29,06,34,29,24,29,7,39,150,95
30,06,35,31,26,29,9,37,,129
01,07,33,29,26,24,12,32,,103
02,07,33,30,27,32,15,37,150,122
03,07,33,29,24,40,13,58,150,99
04,07,33,29,25,27,13,37,,111
05,07,33,31,28,27,17,37,50,115
06,07,33,28,23,26,14,35,150,81
07,07,33,31,28,29,14,42,100,112
08,07,33,30,27,29,16,39,150,94
09,07,33,29,26,34,17,43,50,87
10,07,33,29,25,29,16,35,,91
11,07,33,30,26,32,11,37,,82
12,07,33,29,26,26,11,40,,134
13,07,34,30,26,34,9,45,150,211
14,07,33,29,26,26,10,32,150,192
15,07,32,28,23,37,8,55,150,213
16,07,31,28,26,23,6,26,150,194
17,07,33,29,24,26,7,35,100,136
18,07,32,29,25,27,7,34,150,158
19,07,33,29,26,24,7,34,,148
20,07,32,29,27,26,10,37,50,183
21,07,33,30,26,26,6,40,150,164
22,07,33,29,25,35,6,50,150,202
23,07,34,30,26,29,8,42,50,234
24,07,35,31,27,34,10,48,,263
25,07,31,27,23,40,11,53,50,230
26,07,29,27,24,37,10,47,50,205
27,07,34,29,24,29,13,40,,209
